Object,Percentage
Font,0.3357487922705314
Gesture,0.19504830917874397
Forehead,0.16908212560386474
Sleeve,0.1497584541062802
Smile,0.1388888888888889
Chin,0.13828502415458938
Human,0.13345410628019325
Glasses,0.13103864734299517
Product,0.12681159420289856
Facial expression,0.09842995169082126
Vision care,0.08695652173913043
Happy,0.08333333333333333
Tie,0.08333333333333333
Eyebrow,0.08031400966183574
Photograph,0.07669082125603864
Head,0.07246376811594203
Hair,0.06823671497584541
Nose,0.06823671497584541
Clothing,0.0646135265700483
Coat,0.06340579710144928
